Identifier,Resource_no,Collection_Title
ref481_mzl,9164,"Biology Notebook,"
ref483_wpp,9166,"Essays,"
ref491_5j2,9173,"Texas Observations,"
ref517_1pr,9199,"Notes for unwritten book on bird courtship,"
ref537_3ey,9219,"Science of Life,"
ref588_dz0,9270,"Notes,"
ref613_cge,9295,"<title ns2:type=""simple"" ns2:href="""" render=""doublequote"">Evolution in Action</title>(published NY, Harper,"
ref676_bsc,9358,"Lasker Award Address,"
ref677_0zs,9359,"Argonne National Laboratory Address,"
ref712_x5w,9394,"(Proposed) Ecological Survey of Masailand,"
ref727_uwu,9409,"International Union forConservation of Nature Program,"
ref827_wgt,9508,"The Listener,"
ref837_9q9,9518,"Articles,"
ref839_4hw,9520,"Articles,"
ref842_q83,9523,"Articles,"
ref843_bmv,9524,"articles,"
ref872_otd,9552,"Heidelberg,"
ref873_ght,9553,"USA,"
ref874_trl,9554,"Italy,"
ref875_t42,9555,"Spitzbergen,"
ref876_sg3,9556,"Africa,"
ref878_ye2,9558,"Canada and USA, St. Kilda, USA, USA and Lisbon,"
ref879_x6i,9559,"Journals, West Africa,"
ref880_pag,9560,"West Africa,"
ref881_623,9561,"USA, USSR,"
ref882_j15,9562,"Latin America,"
ref883_pd2,9563,"Latin America,"
ref884_40d,9564,"Unesco tour, Middle East,"
ref885_q6y,9565,"Unesco tour, Eastern Europe,"
ref886_75u,9566,"Amsterdam and Les Eyzies,"
ref887_9x9,9567,"Unesco tour, Middle East,"
ref889_vsb,9569,"World Tour Itinerary, USA and Fiji Islands,"
ref890_4yc,9570,"World Tour, Australia,"
ref891_j5m,9571,"World Tour, Australia,"
ref892_dmo,9572,"World Tour, Near East Itineraries,"
ref893_yqx,9573,"World Tour, Near East Journals,"
ref894_vb3,9574,"World Tour, Near East Journals,"
ref895_ijh,9575,"World Tour, Near East Clippings, Notes, Collected documents,"
ref896_h5c,9576,"World Tour, Near East collected documents and memorabilia,"
ref897_jrq,9577,"Canada and USA, Canada India, USA,"
ref898_i2q,9578,"South Africa and East Africa,"
ref899_q8v,9579,"South Africa and Eastern Africa, Journals,"
ref900_yuj,9580,"West Africa,"
ref901_48l,9581,"West Africa,"
ref902_7ew,9582,"West Africa,"
ref904_0bf,9584,"British Jordan Expedition, Afrida, USA,"
ref905_kcs,9585,"Africa,"
ref917_q1m,9596,"10th International Ornithological Congress,"
ref972_4i2,9651,"Royal Society Symposium on Ritualization,"
ref976_gma,9654,"Abortion Law Reform Association,"
ref977_1tl,9655,"Aldus Books,"
ref979_o28,9657,"Association of British Science Writers, Association Internationale de Generalization Albert Einstein, Association of British Zoologists, Association of Scientific Workers, Athaneum, Bertrand Russell Peace Foundation,"
ref980_328,9658,"British Association for the Advancement of Science,"
ref981_yyn,9659,"British Humanist Association, British Ornithologists' Club, British Ornithologists' Union, British Social Hygiene Council, British Society for Cultural Freedom, British Society for Research on Aging, British Trust for Ornithology,"
ref982_mi2,9660,"The Carnegie Institution,"
ref983_fdc,9661,"Centenary Cultural Council, Center for Human Understanding, University of Chicago, Centre International de Generalisation,"
ref984_s35,9662,"Charles Darwin Foundation for the Galapagos Islands,"
ref985_bfm,9663,"Charles Darwin Foundation for the Galapagos Islands,"
ref986_rue,9664,"Committee for Economic Development, Committee for the Study of Mankind, Congress for Cultural Freedom, Conservation Foundation, Conservation Society,"
